Biograf;By;Forestillingstidspunkt;Filmtitel;Filmgenre;Filmvarighed;Filminstruktør;Premieredato;Bookingmail;Bookingtelefonnummer
Cinemaxx;Munkebo;03-4-20 09:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;10-1-20;djupedal@live.com;94816860
Cinemaxx;Munkebo;05-6-20 03:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;10-1-20;miltchev@yahoo.com;48560738
Cinemaxx;Munkebo;07-8-20 07:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;10-1-20;dmath@comcast.net;13877584
Cinemaxx;Århus;20-5-20 07:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;10-1-20;jkegl@verizon.net;79908480
Cinemaxx;Århus;10-1-20 09:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;10-1-20;speeves@aol.com;77161028
Nordisk Film;København;20-5-20 07:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;10-1-20;scato@icloud.com;71080278
Nordisk Film;København;10-1-20 09:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;10-1-20;mallanmba@yahoo.ca;95597338
Cinemaxx;Munkebo;05-4-19 07:00;The Wife;Drama;01:39; Björn Runge;27-11-18;bwcarty@comcast.net;78603148
Cinemaxx;Munkebo;30-11-18 03:00;The Wife;Drama;01:39; Björn Runge;27-11-18;alias@aol.com;98447997
Cinemaxx;Århus;05-4-19 07:00;The Wife;Drama;01:39; Björn Runge;27-11-18;malattia@icloud.com;31439399
Cinemaxx;Århus;01-1-19 09:00;The Wife;Drama;01:39; Björn Runge;27-11-18;moxfulder@optonline.net;14559186
Nordisk Film;København;26-12-18 07:00;The Wife;Drama;01:39; Björn Runge;27-11-18;elflord@hotmail.com;80941308
Nordisk Film;København;02-5-19 03:00;The Wife;Drama;01:39; Björn Runge;27-11-18;bmorrow@comcast.net;40462260
Cinemaxx;Munkebo;01-12-19 07:00;Ayka;Drama;01:40;Sergei Dvortsevoy;07-11-19;durist@sbcglobal.net;72879172
Cinemaxx;Munkebo;01-12-19 07:00;Ayka;Drama;01:40;Sergei Dvortsevoy;07-11-19;demmel@hotmail.com;10650545
Cinemaxx;Munkebo;01-12-19 07:00;Ayka;Drama;01:40;Sergei Dvortsevoy;07-11-19;miltchev@me.com;85540697
Cinemaxx;Århus;15-11-19 09:00;Ayka;Drama;01:40;Sergei Dvortsevoy;07-11-19;eimear@icloud.com;23860147
Cinemaxx;Århus;15-11-19 09:00;Ayka;Drama;01:40;Sergei Dvortsevoy;07-11-19;gtaylor@mac.com;65236201
Nordisk Film;København;23-12-19 03:00;Ayka;Drama;01:40;Sergei Dvortsevoy;07-11-19;tjensen@yahoo.ca;71817409
Nordisk Film;København;23-12-19 03:00;Ayka;Drama;01:40;Sergei Dvortsevoy;07-11-19;muadip@sbcglobal.net;56800833
Cinemaxx;Munkebo;05-4-19 07:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;02-11-18;thowell@live.com;93755908
Cinemaxx;Munkebo;01-1-19 09:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;02-11-18;dbindel@mac.com;92059231
Cinemaxx;Munkebo;30-11-18 03:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;02-11-18;kassiesa@me.com;81876567
Cinemaxx;Århus;05-4-19 07:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;02-11-18;nichoj@me.com;40940316
Cinemaxx;Århus;01-1-19 09:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;02-11-18;imightb@me.com;16706901
Nordisk Film;København;26-12-18 07:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;02-11-18;ngedmond@att.net;23716329
Nordisk Film;København;02-5-19 03:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;02-11-18;aglassis@gmail.com;40037990
Cinemaxx;Munkebo;25-12-17 07:00;Darkest Hour;Biography, Drama, History ;02:30;Joe Wright;22-12-17;ideguy@icloud.com;53029064
Cinemaxx;Munkebo;02-1-18 09:00;Darkest Hour;Biography, Drama, History ;02:30;Joe Wright;22-12-17;ngedmond@aol.com;57519890
Cinemaxx;Munkebo;03-1-18 09:00;Darkest Hour;Biography, Drama, History ;02:30;Joe Wright;22-12-17;khris@hotmail.com;33417420
Cinemaxx;Århus;25-12-17 07:00;Darkest Hour;Biography, Drama, History ;02:30;Joe Wright;22-12-17;scarlet@hotmail.com;19245648
Cinemaxx;Århus;05-2-18 03:00;Darkest Hour;Biography, Drama, History ;02:30;Joe Wright;22-12-17;gknauss@live.com;54080732
Nordisk Film;København;25-12-17 07:00;Darkest Hour;Biography, Drama, History ;02:30;Joe Wright;22-12-17;pplinux@comcast.net;27899076
Nordisk Film;København;26-12-17 07:00;Darkest Hour;Biography, Drama, History ;02:30;Joe Wright;22-12-17;hampton@sbcglobal.net;78365253
Cinemaxx;Munkebo;01-12-19 07:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;12-4-19;ubergeeb@gmail.com;45782606
Cinemaxx;Munkebo;01-12-19 07:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;12-4-19;jmmuller@msn.com;70442232
Cinemaxx;Munkebo;01-12-19 07:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;12-4-19;thaljef@mac.com;49807733
Cinemaxx;Århus;15-11-19 09:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;12-4-19;pgolle@live.com;69593061
Cinemaxx;Århus;15-11-19 09:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;12-4-19;trygstad@optonline.net;32049093
Nordisk Film;København;23-12-19 03:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;12-4-19;ducasse@verizon.net;25666320
Nordisk Film;København;23-12-19 03:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;12-4-19;falcao@outlook.com;72691152
Cinemaxx;Munkebo;22-7-17 07:00;Dunkirkk;Action, Drama, History;01:46;Christopher Nolan;21-7-17;webinc@att.net;84961907
Cinemaxx;Munkebo;23-7-17 07:00;Dunkirkk;Action, Drama, History;01:46;Christopher Nolan;21-7-17;kenja@comcast.net;28751217
Cinemaxx;Munkebo;24-7-17 07:00;Dunkirkk;Action, Drama, History;01:46;Christopher Nolan;21-7-17;boftx@mac.com;59006266
Cinemaxx;Århus;25-7-17 07:00;Dunkirkk;Action, Drama, History;01:46;Christopher Nolan;21-7-17;formis@gmail.com;82613462
Cinemaxx;Århus;22-7-17 07:00;Dunkirkk;Action, Drama, History;01:46;Christopher Nolan;21-7-17;jfriedl@hotmail.com;72805770
Nordisk Film;København;23-7-17 07:00;Dunkirkk;Action, Drama, History;01:46;Christopher Nolan;21-7-17;daveed@yahoo.ca;66647808
Nordisk Film;København;24-7-17 07:00;Dunkirkk;Action, Drama, History;01:46;Christopher Nolan;21-7-17;luebke@yahoo.com;69383771
Cinemaxx;Munkebo;05-4-19 07:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;16-11-18;cliffski@comcast.net;84523603
Cinemaxx;Munkebo;01-1-19 09:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;16-11-18;flaviog@hotmail.com;61368923
